"ID","FULL-CHECKSUM","PART-CHECKSUM","VERSION","AUTHOR","COPYRIGHT","CREDIT","LICENSE","TITLE","SUBJECT","URL","FRAMEWORK","MODSERVER","FILESIZE","FILEDATE","DEPENDENCIES"
"text.mxml","E96B6DA8","E96B6DA8","1.00","Michael R Sweet.","-","Adapted for BlitzMax by Bruce A Henderson","Apache 2.0","-","-","-","-","-","341","1600611553",""
"text.jansson","8E183E01","3921436E","1.06","Bruce A Henderson","2014-2020 Bruce A Henderson","-","MIT","-","-","-","-","-","2558","1600611553",""
"text.format","9ECB95E5","40FA4370","1.04","-","2007-2020 Bruce A Henderson","-","MIT","-","-","-","-","BRL","12644","1600611553","Text.RegEx;BRL.LinkedList;BRL.StringBuilder"
"text.json","83806E33","3921436E","1.04","Bruce A Henderson","2014-2020 Bruce A Henderson","-","MIT","-","-","-","-","-","20665","1600611553",""
"text.jconv","E2EDC9C9","D2E25F7B","1.06","Bruce A Henderson","2019-2020 Bruce A Henderson","-","zlib/png","-","-","-","-","-","27429","1600611553","BRL.Reflection;Text.JSON;BRL.Map"
"text.regex","1C1E2852","FB9D4F29","1.10","PCRE - Philip Hazel","Wrapper - 2007-2020 Bruce A Henderson","-","BSD","-","-","-","-","-","23021","1600611553",""
"text.xml","FD1BB636","9C615042","1.00","-","2019-2020 Bruce A Henderson","-","Apache 2.0","-","-","-","-","-","10006","1600611553",""
"random.sfmt","20DEBA9B","3DA74FE8","1.06","-","Wrapper - 2007-2020 Bruce A Henderson","-","BSD","-","-","-","-","BRL","4620","1598607056","BRL.Random"
"random.xoshiro","7015D891","EF3C610C","1.00","-","xoshiro256++ - 2019 David Blackman and Sebastiano Vigna","-","zlib","-","-","-","-","-","2957","1598607056","BRL.Random"
"brl.keycodes","8F75E042","0EE732F9","1.05","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","3506","1601047527",""
"brl.randomdefault","132B3E1E","85995754","1.08","Mark Sibly, Floyd","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","4135","1601047527","BRL.Random"
"brl.glmax2d","4BD3760C","89EB5056","1.13","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","14708","1601047527","BRL.Max2D;BRL.GLGraphics;BRL.Threads"
"brl.random","A4A8878B","12C64BAF","1.08","Mark Sibly, Floyd","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","6770","1601047527","BRL.Threads"
"brl.stbimageloader","33B2E4A5","7D604A30","1.00","Bruce A Henderson","Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","2531","1601047527","Pub.StbImage;BRL.Pixmap"
"brl.bank","88B7D292","F6AD4767","1.07","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","24066","1601047527","BRL.Stream"
"brl.quaternion","C3360974","2FA35F88","1.02","Bruce A Henderson","2020 Bruce A Henderson","-","zlib","-","-","-","-","-","39831","1601047527","BRL.Math;BRL.Matrix;BRL.StringBuilder"
"brl.glgraphics","07F7A928","7EC553AA","1.15","Mark Sibly, Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","2061","1601047527",""
"brl.threads","987E85A8","C21B5008","1.02","-","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","-","12980","1601047527",""
"brl.objectlist","D83FBB16","7E37430B","1.00","Bruce A Henderson","-","-","zlib/libpng","-","-","-","-","-","9591","1601047527",""
"brl.pixmap","3766A90E","9E584420","1.07","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","16120","1601047527","BRL.Math;BRL.Stream;BRL.Color"
"brl.hook","DFCA45C0","47D64B05","1.01","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","2575","1601047527",""
"brl.basic","9863B42B","9863B42B","1.02","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","559","1601047527","BRL.Math;BRL.Bank;BRL.Random;BRL.Socket;BRL.Stream;BRL.RamStream;BRL.BankStream;BRL.EndianStream;BRL.SocketStream;BRL.HTTPStream;BRL.StandardIO;BRL.LinkedList;BRL.FileSystem"
"brl.map","212DDB76","38595485","1.10","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","14844","1601047527",""
"brl.bankstream","4B73243D","C2F333A0","1.02","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","2562","1601047527","BRL.Bank;BRL.Stream"
"brl.stream","7F3B127A","5F3A5978","1.11","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","34831","1601047527","BRL.IO;Pub.StdC"
"brl.collections","F91B87F1","F91B87F1","1.00","Bruce A Henderson","2019 Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","405","1601047527",""
"brl.appstub","142E5CD1","EDB2562B","1.20","Mark Sibly, Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","2569","1601047527",""
"brl.max2d","BF06A600","F6B05690","1.22","Mark Sibly, Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","42740","1601047527","BRL.PolledInput;BRL.LinkedList;BRL.Hook"
"brl.gnet","6AD90C03","00804AC7","1.07","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","24719","1601047527","Pub.ENet;BRL.Socket;BRL.LinkedList;BRL.System;BRL.Collections;brl.standardio"
"brl.filesystem","AFD46034","FB9252C7","1.10","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","13521","1601047527","Pub.StdC;BRL.BankStream"
"brl.bmploader","F8352A07","85164FB0","1.07","Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","3758","1601047527","BRL.StbImageLoader;BRL.Pixmap;BRL.EndianStream"
"brl.jpgloader","0165C229","1B8D4FFF","1.05","Simon Armstrong, Jeffrey D. Panici","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","2957","1601047527","BRL.Pixmap;Pub.LibJPEG"
"brl.freeaudioaudio","00E4E37E","F9E356B1","1.14","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","6222","1601047527","BRL.Audio;Pub.FreeAudio;Pub.DirectX"
"brl.oggloader","AB4C7D5F","F44253BE","1.04","Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","1947","1601047527","Pub.OggVorbis;BRL.AudioSample"
"brl.eventqueue","E43D8810","115D48A7","1.03","Mark Sibly, Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","5811","1601047527","BRL.Event;BRL.System"
"brl.platform","0AF4BF91","3A9C5EA1","1.02","Bruce A Henderson","-","-","zlib/libpng","-","-","-","-","-","3619","1601047527","BRL.TextStream;Pub.macos;SDL.SDL"
"brl.d3d9max2d","520BC1B3","1AF84391","1.01","-","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","-","17694","1601047527","BRL.Max2D;BRL.DXGraphics"
"brl.socketstream","2F22CAE8","CF284F91","1.07","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","2972","1601047527","BRL.Socket;BRL.Stream"
"brl.stringbuilder","52851433","F28C5BBA","1.14","-","2018-2020 Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","30670","1601047527",""
"brl.linkedlist","B9A7D42B","A7915704","1.11","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","13792","1601047527",""
"brl.audio","582E390B","372C516A","1.07","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","9569","1601047527","BRL.AudioSample"
"brl.openalaudio","B4DB21E6","C8C25231","1.05","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","9315","1601047527","BRL.Math;BRL.Audio;Pub.OpenAL"
"brl.ramstream","D16F364B","8DE434D7","1.01","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","2566","1601047527","BRL.Stream"
"brl.volumes","FF59E3A2","3D0D436F","1.12","Bruce A Henderson","(c) 2006-2020 Bruce A Henderson","-","MIT","-","-","-","-","-","3034","1601047527",""
"brl.wavloader","4ED46991","BA434323","1.02","Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","2007","1601047527","BRL.AudioSample;BRL.EndianStream"
"brl.color","7A098B29","DBE56072","-","-","-","-","-","-","-","-","-","-","11357","1601047527",""
"brl.dxgraphics","2501A0CB","9D815990","1.31","Simon Armstrong, Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","3499","1601047527",""
"brl.base64","28905472","64264379","1.01","-","BlitzMax port - 2008-2019 Bruce A Henderson","-","MIT","-","-","-","-","-","8498","1601047527",""
"brl.threadpool","46D7E50D","2AF65978","1.01","Bruce A Henderson","Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","8315","1601047527","BRL.Threads;BRL.LinkedList"
"brl.font","D152C62C","853347E8","1.06","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","1412","1601047527",""
"brl.timerdefault","FB7F71AF","4BA746F7","1.00","Simon Armstrong, Mark Sibly, Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","-","1980","1601047527","BRL.Timer;BRL.SystemDefault"
"brl.directsoundaudio","6798BA44","54275084","1.05","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","8650","1601047527","BRL.Math;BRL.Audio;Pub.DirectX"
"brl.freetypefont","CB90B43A","CC4B5903","1.12","Simon Armstrong, Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","6361","1601047527","BRL.Font;BRL.Pixmap;Pub.FreeType;BRL.Bank"
"brl.audiosample","A44551D0","E40C3E89","1.04","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","4965","1601047527","BRL.Stream"
"brl.retro","71F9F000","70D75470","1.09","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","4636","1601047527","BRL.Basic"
"brl.bytebuffer","8BC6DDEF","1196635A","1.01","-","2020 Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","20809","1601047527",""
"brl.httpstream","858D385D","29D134A0","1.03","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","1035","1601047527","BRL.SocketStream"
"brl.reflection","881CF620","822E54CB","1.09","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","103308","1601047527","BRL.LinkedList;BRL.Map;BRL.Threads;BRL.StringBuilder"
"brl.pngloader","9B6837E9","2CDA4FE4","1.07","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","5885","1601047527","BRL.Pixmap;Pub.LibPNG"
"brl.math","B3ED04FF","3B8E422E","1.08","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","4849","1601047527",""
"brl.vector","A0AC9206","0FC85E64","1.00","Bruce A Henderson","2019-2020 Bruce A Henderson","-","zlib","-","-","-","-","-","50618","1601047527","BRL.Math;BRL.StringBuilder"
"brl.polledinput","3662EC80","6640519E","1.04","Mark Sibly, Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","8500","1601047527","BRL.System"
"brl.maxlua","893EE665","6C294C98","1.00","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","12262","1601047527","Pub.Lua;BRL.Reflection"
"brl.clipboard","54A95564","48D54372","1.02","-","Wrapper - 2018-2020 Bruce A Henderson","-","MIT","-","-","-","-","-","7978","1601047527","SDL.SDL"
"brl.uuid","89BB2316","D3CB4E12","1.01","-","Wrapper - 2015-2019 Bruce A Henderson","-","BSD","-","-","-","-","-","2527","1601047527","Pub.libuuid"
"brl.graphics","87324BFB","2E825639","1.08","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","13586","1601047527","BRL.System;BRL.PolledInput"
"brl.event","B9AAABAD","257347D2","1.07","Mark Sibly, Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","8007","1601047527","BRL.Hook"
"brl.io","53935865","ED1A6324","1.00","-","Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","9838","1601047527",""
"brl.blitz","01539BFA","5BE14BE3","1.22","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","29277","1601047527",""
"brl.socket","DC44D6EF","5C7F450C","1.04","Mark Sibly and Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","11133","1601047527","Pub.StdC"
"brl.system","4DF130CC","4883591F","1.29","Mark Sibly, Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","10896","1601047527","BRL.Event;BRL.KeyCodes;BRL.Hook;BRL.FileSystem;Pub.StdC"
"brl.tgaloader","481F6CD1","47844D4D","1.07","Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","5406","1601047527","BRL.StbImageLoader;BRL.Pixmap;BRL.EndianStream"
"brl.maxunit","54480260","5C4C4377","1.06","Bruce A Henderson","(c) 2006-2019 Bruce A Henderson","Based loosely on the JUnit testing framework by Erich Gamma and Kent Beck. see junit.org","MIT","-","-","-","-","-","19524","1601047527","BRL.LinkedList;BRL.StandardIO;BRL.System;BRL.Reflection"
"brl.systemdefault","5AACA2B0","C2BA5976","1.29","Mark Sibly, Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","3515","1601047527","BRL.System;BRL.KeyCodes;BRL.Hook"
"brl.matrix","D659E097","10905E68","1.00","Bruce A Henderson","2019-2020 Bruce A Henderson","-","zlib","-","-","-","-","-","83121","1601047527","BRL.Math;BRL.Vector;BRL.StringBuilder"
"brl.timer","F8FF2C1C","AEBA48B4","1.04","Simon Armstrong, Mark Sibly, Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","-","5006","1601047527","BRL.Event;pub.stdc"
"brl.endianstream","454FF8ED","770D3D46","1.02","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","3254","1601047527","BRL.Stream"
"brl.maxutil","40B7F100","6C863304","1.01","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","3385","1601047527","BRL.LinkedList;BRL.FileSystem;Pub.StdC"
"brl.textstream","1CE21095","80885464","1.05","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","13208","1601047527","BRL.Stream"
"brl.d3d7max2d","8464C6EC","006E53B8","1.20","Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","22784","1601047527","BRL.DXGraphics;BRL.GLMax2D"
"brl.standardio","72A84BFD","6DAE4797","1.07","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","1792","1601047527","BRL.TextStream"
"crypto.xtsmode","C29C2158","A122601A","-","-","-","-","-","-","-","-","-","-","3089","1600611637",""
"crypto.crypto","27C29AB7","E4D2332C","1.00","Bruce A Henderson.","-","-","ISC","-","-","-","-","-","55497","1600611637",""
"crypto.crc32","8E7CDFAB","62955E12","-","-","-","-","-","-","-","-","-","-","2994","1600611637",""
"crypto.gcmauthmode","4C1D61EF","6AB55DA3","-","-","-","-","-","-","-","-","-","-","1037","1600611637",""
"crypto.descipher","2637D885","A77661AB","-","-","-","-","-","-","-","-","-","-","2163","1600611637",""
"crypto.sha256digest","1433D906","51D35F43","-","-","-","-","-","-","-","-","-","-","2196","1600611637",""
"crypto.twofishcipher","BE203F4B","F39A6168","-","-","-","-","-","-","-","-","-","-","1691","1600611637",""
"crypto.ofbmode","D885E2C4","D1586150","-","-","-","-","-","-","-","-","-","-","3673","1600611637",""
"crypto.blake2bdigest","BCE044B6","77015FDD","-","-","-","-","-","-","-","-","-","-","4926","1600611637",""
